gear,pressure,direction,gear_direction,velocity,test_over_time,test_begin_coordinate,test_end_coordinate,gear_run_velocity
4,15,forward,forward,0,0,0,48000,3.15
5,15,forward,forward,177.7777778,270,0,48000,3.15
6,15,forward,forward,223.255814,215,0,48000,3.15
1,16,forward,forward,0,0,0,48000,3.15
2,16,forward,forward,0,0,0,48000,3.15
3,16,forward,forward,0,0,0,48000,3.15
4,16,forward,forward,0,0,0,48000,3.15
5,16,forward,forward,177.7777778,270,0,48000,3.15
6,16,forward,forward,218.1818182,220,0,48000,3.15
1,17,forward,forward,0,0,0,48000,3.15
2,17,forward,forward,0,0,0,48000,3.15
3,17,forward,forward,0,0,0,48000,3.15
4,17,forward,forward,0,0,0,48000,3.15
5,17,forward,forward,165.5172414,290,0,48000,3.15
6,17,forward,forward,213.3333333,225,0,48000,3.15
1,18,forward,forward,0,0,0,48000,3.15
2,18,forward,forward,0,0,0,48000,3.15
3,18,forward,forward,0,0,0,48000,3.15
4,18,forward,forward,0,0,0,48000,3.15
5,18,forward,forward,160,300,0,48000,3.15
6,18,forward,forward,208.6956522,230,0,48000,3.15
1,19,forward,forward,0,0,0,48000,3.15
2,19,forward,forward,0,0,0,48000,3.15
3,19,forward,forward,0,0,0,48000,3.15
4,19,forward,forward,0,0,0,48000,3.15
5,19,forward,forward,154.8387097,310,0,48000,3.15
6,19,forward,forward,204.2553191,235,0,48000,3.15
1,1,backward,backward,228.5714286,210,0,48000,3.15
1,2,backward,backward,218.1818182,220,0,48000,3.15
1,3,backward,backward,208.6956522,230,0,48000,3.15
1,4,backward,backward,0,0,0,48000,3.15
1,5,backward,backward,0,0,0,48000,3.15
1,6,backward,backward,0,0,0,48000,3.15
1,7,backward,backward,0,0,0,48000,3.15
1,8,backward,backward,0,0,0,48000,3.15
1,9,backward,backward,0,0,0,48000,3.15
1,10,backward,backward,0,0,0,48000,3.15
1,11,backward,backward,0,0,0,48000,3.15
1,12,backward,backward,0,0,0,48000,3.15
1,13,backward,backward,0,0,0,48000,3.15
1,14,backward,backward,0,0,0,48000,3.15
1,15,backward,backward,0,0,0,48000,3.15
1,16,backward,backward,0,0,0,48000,3.15
1,17,backward,backward,0,0,0,48000,3.15
1,18,backward,backward,0,0,0,48000,3.15
1,19,backward,backward,0,0,0,48000,3.15
1,20,backward,backward,0,0,0,48000,3.15
1,21,backward,backward,0,0,0,48000,3.15
1,22,backward,backward,0,0,0,48000,3.15
1,23,backward,backward,0,0,0,48000,3.15
1,24,backward,backward,0,0,0,48000,3.15
1,25,backward,backward,0,0,0,48000,3.15
1,26,backward,backward,0,0,0,48000,3.15
1,27,backward,backward,0,0,0,48000,3.15
1,28,backward,backward,0,0,0,48000,3.15
1,29,backward,backward,0,0,0,48000,3.15
1,30,backward,backward,0,0,0,48000,3.15
1,31,backward,backward,0,0,0,48000,3.15
1,32,backward,backward,0,0,0,48000,3.15
1,33,backward,backward,0,0,0,48000,3.15
1,34,backward,backward,0,0,0,48000,3.15
1,35,backward,backward,0,0,0,48000,3.15
1,36,backward,backward,0,0,0,48000,3.15
1,37,backward,backward,0,0,0,48000,3.15
1,38,backward,backward,0,0,0,48000,3.15
2,1,backward,backward,282.3529412,170,0,48000,3.15
2,2,backward,backward,266.6666667,180,0,48000,3.15
2,3,backward,backward,252.6315789,190,0,48000,3.15
2,4,backward,backward,240,200,0,48000,3.15
2,5,backward,backward,228.5714286,210,0,48000,3.15
2,6,backward,backward,223.255814,215,0,48000,3.15
2,7,backward,backward,218.1818182,220,0,48000,3.15
2,8,backward,backward,200,240,0,48000,3.15
2,9,backward,backward,0,0,0,48000,3.15
2,10,backward,backward,0,0,0,48000,3.15
2,11,backward,backward,0,0,0,48000,3.15
2,12,backward,backward,0,0,0,48000,3.15
2,13,backward,backward,0,0,0,48000,3.15
2,14,backward,backward,0,0,0,48000,3.15
2,15,backward,backward,0,0,0,48000,3.15
2,16,backward,backward,0,0,0,48000,3.15
2,17,backward,backward,0,0,0,48000,3.15
2,18,backward,backward,0,0,0,48000,3.15
2,19,backward,backward,0,0,0,48000,3.15
2,20,backward,backward,0,0,0,48000,3.15
2,21,backward,backward,0,0,0,48000,3.15
2,22,backward,backward,0,0,0,48000,3.15
2,23,backward,backward,0,0,0,48000,3.15
2,24,backward,backward,0,0,0,48000,3.15
2,25,backward,backward,0,0,0,48000,3.15
2,26,backward,backward,0,0,0,48000,3.15
2,27,backward,backward,0,0,0,48000,3.15
2,28,backward,backward,0,0,0,48000,3.15
2,29,backward,backward,0,0,0,48000,3.15
2,30,backward,backward,0,0,0,48000,3.15
2,31,backward,backward,0,0,0,48000,3.15
2,32,backward,backward,0,0,0,48000,3.15
2,33,backward,backward,0,0,0,48000,3.15
2,34,backward,backward,0,0,0,48000,3.15
2,35,backward,backward,0,0,0,48000,3.15
2,36,backward,backward,0,0,0,48000,3.15
2,37,backward,backward,0,0,0,48000,3.15
2,38,backward,backward,0,0,0,48000,3.15
3,1,backward,backward,290.9090909,165,0,48000,3.15
3,2,backward,backward,282.3529412,170,0,48000,3.15
3,3,backward,backward,274.2857143,175,0,48000,3.15
3,4,backward,backward,266.6666667,180,0,48000,3.15
3,5,backward,backward,252.6315789,190,0,48000,3.15
3,6,backward,backward,240,200,0,48000,3.15
3,7,backward,backward,228.5714286,210,0,48000,3.15
3,8,backward,backward,218.1818182,220,0,48000,3.15
3,9,backward,backward,0,0,0,48000,3.15
3,10,backward,backward,0,0,0,48000,3.15
3,11,backward,backward,0,0,0,48000,3.15
3,12,backward,backward,0,0,0,48000,3.15
3,13,backward,backward,0,0,0,48000,3.15
3,14,backward,backward,0,0,0,48000,3.15
3,15,backward,backward,0,0,0,48000,3.15
3,16,backward,backward,0,0,0,48000,3.15
3,17,backward,backward,0,0,0,48000,3.15
3,18,backward,backward,0,0,0,48000,3.15
3,19,backward,backward,0,0,0,48000,3.15
3,20,backward,backward,0,0,0,48000,3.15
3,21,backward,backward,0,0,0,48000,3.15
3,22,backward,backward,0,0,0,48000,3.15
3,23,backward,backward,0,0,0,48000,3.15
3,24,backward,backward,0,0,0,48000,3.15
3,25,backward,backward,0,0,0,48000,3.15
3,26,backward,backward,0,0,0,48000,3.15
3,27,backward,backward,0,0,0,48000,3.15
3,28,backward,backward,0,0,0,48000,3.15
3,29,backward,backward,0,0,0,48000,3.15
3,30,backward,backward,0,0,0,48000,3.15
3,31,backward,backward,0,0,0,48000,3.15
3,32,backward,backward,0,0,0,48000,3.15
3,33,backward,backward,0,0,0,48000,3.15
3,34,backward,backward,0,0,0,48000,3.15
3,35,backward,backward,0,0,0,48000,3.15
3,36,backward,backward,0,0,0,48000,3.15
3,37,backward,backward,0,0,0,48000,3.15
3,38,backward,backward,0,0,0,48000,3.15
4,1,backward,backward,300,160,0,48000,3.15
4,2,backward,backward,290.9090909,165,0,48000,3.15
4,3,backward,backward,282.3529412,170,0,48000,3.15
4,4,backward,backward,274.2857143,175,0,48000,3.15
4,5,backward,backward,252.6315789,190,0,48000,3.15
4,6,backward,backward,240,200,0,48000,3.15
4,7,backward,backward,228.5714286,210,0,48000,3.15
4,8,backward,backward,218.1818182,220,0,48000,3.15
4,9,backward,backward,218.1818182,220,0,48000,3.15
4,10,backward,backward,208.6956522,230,0,48000,3.15
4,11,backward,backward,200,240,0,48000,3.15
4,12,backward,backward,192,250,0,48000,3.15
4,13,backward,backward,188.2352941,255,0,48000,3.15
4,14,backward,backward,0,0,0,48000,3.15
4,15,backward,backward,0,0,0,48000,3.15
4,16,backward,backward,0,0,0,48000,3.15
4,17,backward,backward,0,0,0,48000,3.15
4,18,backward,backward,0,0,0,48000,3.15
4,19,backward,backward,0,0,0,48000,3.15
4,20,backward,backward,0,0,0,48000,3.15
4,21,backward,backward,0,0,0,48000,3.15
4,22,backward,backward,0,0,0,48000,3.15
4,23,backward,backward,0,0,0,48000,3.15
4,24,backward,backward,0,0,0,48000,3.15
4,25,backward,backward,0,0,0,48000,3.15
4,26,backward,backward,0,0,0,48000,3.15
4,27,backward,backward,0,0,0,48000,3.15
4,28,backward,backward,0,0,0,48000,3.15
4,29,backward,backward,0,0,0,48000,3.15
4,30,backward,backward,0,0,0,48000,3.15
4,31,backward,backward,0,0,0,48000,3.15
4,32,backward,backward,0,0,0,48000,3.15
4,33,backward,backward,0,0,0,48000,3.15
4,34,backward,backward,0,0,0,48000,3.15
4,35,backward,backward,0,0,0,48000,3.15
4,36,backward,backward,0,0,0,48000,3.15
4,37,backward,backward,0,0,0,48000,3.15
4,38,backward,backward,0,0,0,48000,3.15
5,1,backward,backward,480,150,0,48000,3.15
5,2,backward,backward,400,155,0,48000,3.15
5,3,backward,backward,369.2307692,160,0,48000,3.15
5,4,backward,backward,342.8571429,165,0,48000,3.15
5,5,backward,backward,320,170,0,48000,3.15
5,6,backward,backward,300,180,0,48000,3.15
5,7,backward,backward,282.3529412,190,0,48000,3.15
5,8,backward,backward,240,200,0,48000,3.15
5,9,backward,backward,228.5714286,210,0,48000,3.15
5,10,backward,backward,218.1818182,220,0,48000,3.15
5,11,backward,backward,208.6956522,230,0,48000,3.15
5,12,backward,backward,200,240,0,48000,3.15
5,13,backward,backward,192,250,0,48000,3.15
5,14,backward,backward,184.6153846,260,0,48000,3.15
5,15,backward,backward,177.7777778,270,0,48000,3.15
5,16,backward,backward,171.4285714,280,0,48000,3.15
5,17,backward,backward,165.5172414,290,0,48000,3.15
5,18,backward,backward,160,300,0,48000,3.15
5,19,backward,backward,154.8387097,310,0,48000,3.15
5,20,backward,backward,0,0,0,48000,3.15
5,21,backward,backward,0,0,0,48000,3.15
5,22,backward,backward,0,0,0,48000,3.15
5,23,backward,backward,0,0,0,48000,3.15
5,24,backward,backward,0,0,0,48000,3.15
5,25,backward,backward,0,0,0,48000,3.15
5,26,backward,backward,0,0,0,48000,3.15
5,27,backward,backward,0,0,0,48000,3.15
5,28,backward,backward,0,0,0,48000,3.15
5,29,backward,backward,0,0,0,48000,3.15
5,30,backward,backward,0,0,0,48000,3.15
5,31,backward,backward,0,0,0,48000,3.15
5,32,backward,backward,0,0,0,48000,3.15
5,33,backward,backward,0,0,0,48000,3.15
5,34,backward,backward,0,0,0,48000,3.15
5,35,backward,backward,0,0,0,48000,3.15
5,36,backward,backward,0,0,0,48000,3.15
5,37,backward,backward,0,0,0,48000,3.15
5,38,backward,backward,0,0,0,48000,3.15
6,1,backward,backward,533.3333333,90,0,48000,3.15
6,2,backward,backward,480,100,0,48000,3.15
6,3,backward,backward,436.3636364,110,0,48000,3.15
6,4,backward,backward,400,120,0,48000,3.15
6,5,backward,backward,369.2307692,130,0,48000,3.15
6,6,backward,backward,342.8571429,140,0,48000,3.15
6,7,backward,backward,320,150,0,48000,3.15
6,8,backward,backward,300,160,0,48000,3.15
6,9,backward,backward,282.3529412,170,0,48000,3.15
6,10,backward,backward,266.6666667,180,0,48000,3.15
6,11,backward,backward,252.6315789,190,0,48000,3.15
6,12,backward,backward,240,200,0,48000,3.15
6,13,backward,backward,234.1463415,205,0,48000,3.15
6,14,backward,backward,228.5714286,210,0,48000,3.15
6,15,backward,backward,223.255814,215,0,48000,3.15
6,16,backward,backward,218.1818182,220,0,48000,3.15
6,17,backward,backward,213.3333333,225,0,48000,3.15
6,18,backward,backward,208.6956522,230,0,48000,3.15
6,19,backward,backward,204.2553191,235,0,48000,3.15
6,20,backward,backward,200,240,0,48000,3.15
6,21,backward,backward,195.9183673,245,0,48000,3.15
6,22,backward,backward,192,250,0,48000,3.15
6,23,backward,backward,188.2352941,255,0,48000,3.15
6,24,backward,backward,184.6153846,260,0,48000,3.15
6,25,backward,backward,181.1320755,265,0,48000,3.15
6,26,backward,backward,177.7777778,270,0,48000,3.15
6,27,backward,backward,174.5454545,275,0,48000,3.15
6,28,backward,backward,171.4285714,280,0,48000,3.15
6,29,backward,backward,168.4210526,285,0,48000,3.15
6,30,backward,backward,165.5172414,290,0,48000,3.15
6,31,backward,backward,162.7118644,295,0,48000,3.15
6,32,backward,backward,160,300,0,48000,3.15
6,33,backward,backward,157.3770492,305,0,48000,3.15
6,34,backward,backward,154.8387097,310,0,48000,3.15
6,35,backward,backward,152.3809524,315,0,48000,3.15
6,36,backward,backward,150,320,0,48000,3.15
6,37,backward,backward,147.6923077,325,0,48000,3.15
6,38,backward,backward,145.4545455,330,0,48000,3.15
